ax_rms,ax_var,ax_energy,ax_ptp,ax_skew,ax_kurt,ay_rms,ay_var,ay_energy,ay_ptp,ay_skew,ay_kurt,az_rms,az_var,az_energy,az_ptp,az_skew,az_kurt,gx_rms,gx_var,gx_energy,gx_ptp,gx_skew,gx_kurt,gy_rms,gy_var,gy_energy,gy_ptp,gy_skew,gy_kurt,gz_rms,gz_var,gz_energy,gz_ptp,gz_skew,gz_kurt,xcorr_ax_ay,xcorr_ax_az,xcorr_ay_az,xcorr_gx_gy,xcorr_gx_gz,xcorr_gy_gz,ppg_rms,ppg_var,ppg_energy,ppg_ptp,ppg_skew,ppg_kurt
0.0676,0.0024,0.0046,0.4130,1.0181,5.7965,0.0169,0.0003,0.0003,0.1137,-0.0996,2.3317,9.8394,0.0168,96.8135,1.2139,1.7774,9.8616,0.1133,0.0128,0.0128,1.1298,-0.5519,5.5133,0.3282,0.1070,0.1077,2.8092,-0.1558,6.7925,0.0599,0.0032,0.0036,0.3817,-0.2754,0.3963,0.1187,0.8850,0.1315,0.7583,-0.0952,0.0890,319.6869,151.4175,102199.7188,51.0000,0.1855,-0.6655
0.0520,0.0006,0.0027,0.1903,-0.0599,2.8387,0.0241,0.0005,0.0006,0.1604,-1.4006,3.4171,9.8170,0.0050,96.3736,0.4848,-0.2185,3.9925,0.0755,0.0056,0.0057,0.4580,-0.9346,2.6045,0.1682,0.0281,0.0283,1.2824,-1.9440,7.7690,0.0576,0.0033,0.0033,0.3817,0.7352,1.6642,0.1766,0.3311,0.2807,0.6589,-0.2100,-0.0196,320.2588,146.4691,102565.6719,51.0000,0.1002,-0.7905
0.0471,0.0006,0.0022,0.1999,-0.4198,6.4888,0.0122,0.0001,0.0001,0.0515,-0.1420,-0.4181,9.8258,0.0026,96.5456,0.2933,1.4063,4.3731,0.0634,0.0040,0.0040,0.3206,0.0972,-0.1084,0.0981,0.0093,0.0096,0.5649,-1.2264,2.7280,0.0492,0.0023,0.0024,0.1985,-0.5126,-0.4994,0.4875,0.2744,0.1483,0.4809,-0.1321,0.0615,321.7541,150.5996,103525.7109,50.0000,-0.2467,-0.7720
0.0630,0.0011,0.0040,0.1867,2.3444,6.5240,0.0239,0.0005,0.0006,0.1556,-0.4266,2.6024,9.8153,0.0020,96.3405,0.3364,-0.1448,5.1619,0.0748,0.0056,0.0056,0.4275,-0.7600,2.8070,0.1417,0.0201,0.0201,0.8397,-1.5516,5.0148,0.0921,0.0061,0.0085,0.3817,0.7964,1.3002,-0.6357,0.0865,-0.1673,0.5789,0.1799,0.1507,320.2581,142.8138,102565.2188,53.0000,-0.0929,-0.7605
0.0419,0.0001,0.0018,0.0491,-0.1816,-0.8156,0.0118,0.0001,0.0001,0.0503,-0.0273,-0.4920,9.8142,0.0003,96.3181,0.0838,-0.1647,-0.2225,0.0493,0.0023,0.0024,0.2443,-0.2926,0.5281,0.0728,0.0052,0.0053,0.3664,0.2843,0.4225,0.0465,0.0021,0.0022,0.2290,-0.3178,0.0109,-0.0953,-0.0106,-0.0300,-0.0121,-0.1533,0.2281,317.1094,173.9478,100558.3672,55.0000,0.1740,-0.8764
0.0426,0.0001,0.0018,0.0563,0.1083,-0.0924,0.0105,0.0001,0.0001,0.0491,-0.7652,0.6313,9.8111,0.0004,96.2573,0.0838,-0.2925,-0.3273,0.0459,0.0020,0.0021,0.2137,0.0773,-0.5711,0.0553,0.0031,0.0031,0.2443,-0.1669,-0.3657,0.0413,0.0017,0.0017,0.1985,-0.6698,-0.3447,0.0545,-0.0818,0.2028,0.0369,0.0984,-0.0392,319.1900,165.9151,101882.2578,55.0000,-0.0226,-0.9175
0.0512,0.0004,0.0026,0.1975,4.4227,30.5295,0.0275,0.0007,0.0008,0.2586,3.0675,20.2138,9.8365,0.0064,96.7574,0.5255,4.4786,20.9969,0.0937,0.0088,0.0088,0.8092,-3.6055,20.0622,0.2616,0.0681,0.0684,2.1069,-3.7204,18.9545,0.0811,0.0064,0.0066,0.5496,3.5398,16.3475,0.3529,0.4625,0.1123,0.7565,-0.5161,-0.3102,320.8848,150.6375,102967.0625,48.0000,-0.3180,-0.8218
0.0422,0.0001,0.0018,0.0611,0.0567,-0.1425,0.0144,0.0002,0.0002,0.0814,0.1951,0.2077,9.8156,0.0004,96.3457,0.0910,-0.0015,-0.3996,0.0561,0.0030,0.0031,0.2137,-0.1240,-0.7011,0.0631,0.0038,0.0040,0.2748,0.0016,-0.8841,0.0667,0.0043,0.0044,0.3511,1.4500,3.4295,-0.0518,0.1129,-0.0046,0.1177,-0.2586,0.1872,320.0093,143.5288,102405.9766,48.0000,-0.2473,-0.8095
0.0433,0.0001,0.0019,0.0658,-0.3312,0.0804,0.0125,0.0002,0.0002,0.0754,0.2541,1.2058,9.8167,0.0003,96.3673,0.0886,-0.0491,-0.2017,0.0480,0.0019,0.0023,0.2290,0.1744,-0.0661,0.0624,0.0039,0.0039,0.2748,0.1456,-0.2138,0.0483,0.0023,0.0023,0.2595,0.5038,0.4038,0.0095,0.3021,0.1229,-0.1066,-0.0689,0.0426,315.8358,139.3868,99752.2188,46.0000,0.1552,-0.9062
0.0455,0.0001,0.0021,0.0670,-0.0581,-0.1345,0.0113,0.0001,0.0001,0.0491,0.1662,-0.5561,9.8210,0.0005,96.4520,0.1448,-1.0337,3.3369,0.0476,0.0022,0.0023,0.2137,0.2942,-0.4186,0.0605,0.0036,0.0037,0.3359,-0.3875,0.0776,0.0467,0.0018,0.0022,0.2595,0.2072,1.2977,-0.1161,0.0926,0.0581,0.2128,0.0921,-0.0036,315.8519,152.7279,99762.3984,58.0000,0.1528,-0.8419
